BrandCode,BrandName,CatalogueCode,CatalogueName,CategoryCode,CategoryName,MainImage,ModelNumber,Offer,ProductName,RatingValue,RegularPrice,SKU,StockAvailability,URL,VendorCode,page,reviews
,,,male,,male-shoes,https://edge.curalate.com/v1/img/3dUXN2Gb97c7Mms31_ML0UKjRYnYVkfoj8QgL20hEjQ=,,0,Skechers Men's Koopa Court - Tiebreak Sneaker | Size 9.5 | Navy | Synthetic/Leather/Textile,0,75.0,76a8d4e8-06e3-47e1-9a5e-5ca51be76299,true,https://www.skechers.com/koopa-court---tiebreak/183250_NVY.html,17,0,
,,,female,,female-shoes,https://edge.curalate.com/v1/img/tZKc_Mj7fCZZshHipohtMw2GPCFvHpIcW4lSki0VCEA=,,0,Skechers Women's Foamies: Arch Fit Horizon Sandals | Size 8.0 | White | Synthetic | Vegan | Machine Washable,0,45.0,9943bb5e-1c1d-4ac8-9322-94b92b988fe8,true,https://www.skechers.com/foamies-arch-fit-horizon/111630_WHT.html,17,0,
,,,female,,female-shoes,https://edge.curalate.com/v1/img/rwysePGjpxZ982PtDylkaJM2uH5GvDBsyjZHdm6arBM=,,0,Skechers Women's D'Lites - Bold Views Sneaker | Size 8.0 | Mauve | Leather/Synthetic/Textile,0,75.0,036b3ce0-c5a7-4e16-a0e7-1e788e69fc9b,true,https://www.skechers.com/dlites---bold-views/149589_MVMT.html,17,0,
,,,female,,female-shoes,https://edge.curalate.com/v1/img/8GuTnHsjYbLFu-fhT00wTwcs5cNQyNdVPxW7gW1vbXk=,,0,Skechers Women's Uno Evolve - Infinite Air Sneaker | Size 6.5 | Sage | Synthetic/Textile,0,85.0,99d6d6d3-2791-4bc5-9b48-d712e9ee4fbb,true,https://www.skechers.com/uno-evolve---infinite-air/177610_SAGE.html,17,0,
,,,female,,female-shoes,https://edge.curalate.com/v1/img/sbd0ntAQdRy-wqwZFW3XbHUE-zd2XsOfVge5mkszya0=,,0,Skechers Women's Uno Court - Courted Style Sneaker | Size 9.0 | Natural/Coral | Leather/Synthetic/Textile,0,80.0,3ff2fc0d-5fbf-4333-9809-f84b114af8f2,true,https://www.skechers.com/uno-court---courted-style/177710_NTCL.html,17,0,
,,,female,,female-shoes,https://edge.curalate.com/v1/img/_r6nab8nQCdAfrGMVtTzR-XZKXi0h_YOepA1VE-hSsA=,,0,Skechers Women's Snoop Dogg: Arch Fit Footsteps - Rolling Glitz Shoes | Size 6.0 | White | Synthetic/Textile,0,75.0,886d7582-2b87-4119-a811-0d627c26dc40,true,https://www.skechers.com/snoop-dogg-arch-fit-footsteps---rolling-glitz/186010_WHT.html,17,0,
,,,female,,female-shoes,https://edge.curalate.com/v1/img/JjttgbPl-FZd6UqcWbn8RWwoWcT6tQwxk5aEsHjTyGo=,,0,Skechers Women's Cordova Classic Sneaker | Size 8.5 | White/Blue | Synthetic/Leather,0,70.0,e00b9f95-c22e-427a-acff-894554fadf86,true,https://www.skechers.com/cordova-classic/185060_WBL.html,17,0,
,,,female,,female-shoes,https://edge.curalate.com/v1/img/4HY9UvwzEGQiKiS3v1bRMorskaxXxGwsZ3VTYTY6rMw=,,0,Skechers Women's Uno - Night Shades Sneaker | Size 7.0 | Purple | Textile/Synthetic,0,85.0,e080082f-dc2b-4b2b-9c06-bf3c344dd4a6,true,https://www.skechers.com/uno---night-shades/73667_PUR.html,17,0,
,,,female,,female-shoes,https://edge.curalate.com/v1/img/Zn0ASXq8PcVoNXF32Lj-g5nrsiZj7ThzTFk9crfNPHk=,,0,Skechers Women's Slip-ins Max Cushioning AF - Fluidity Sneaker | Size 8.0 | Gray/Pink | Textile/Synthetic | Machine Washable | Arch Fit,0,120.0,84138567-bddd-4e25-b1c8-b3dd108e93d5,true,https://www.skechers.com/skechers-slip-ins-max-cushioning-af---fluidity/128924_GYPK.html,17,0,
,,,female,,female-shoes,https://edge.curalate.com/v1/img/0TNhjg4-NZLghjQFpm3_uAfHc5pqweqDw4sBfrItUv0=,,0,Skechers Women's Snoop Dogg: Arch Fit Footsteps - Rolling N Gold Shoes | Size 6.0 | Pink | Synthetic,0,75.0,4499a86e-6a60-42ee-a368-bda63e970176,true,https://www.skechers.com/snoop-dogg-arch-fit-footsteps---rolling-n-gold/186011_PNK.html,17,0,
,,,female,,female-shoes,https://edge.curalate.com/v1/img/1-I08fxbZefS5rjxgF4bmPXhqxfS-58g75cG6bh6qqc=,,0,Skechers Women's Snoop Dogg: Arch Fit Footsteps - Rolling Glitz Shoes | Size 8.0 | Purple | Synthetic/Textile,0,75.0,206bb47e-5fc8-4461-9b63-2b1dec459b4e,true,https://www.skechers.com/snoop-dogg-arch-fit-footsteps---rolling-glitz/186010_PUR.html,17,0,
